geo_join_id,geo_place_name,geo_type_name,start_date,time_period,pollutant_name,measure_info,data_value,year_from_period,BORO_NM_IMPUTED,AQI_composite
302,Fort Greene and Brooklyn Heights (CD2),CD,2005-01-01,2005,Annual vehicle miles traveled (cars),per square mile,96.294146,2005,,
406,Fresh Meadows,UHF42,2005-01-01,2005,Outdoor Air Toxics - Benzene,Âµg/m3,1.7,2005,,
406,Fresh Meadows,UHF42,2005-01-01,2005,Annual vehicle miles traveled,per square mile,61.967759,2005,,
406,Fresh Meadows,UHF42,2005-01-01,2005,Annual vehicle miles traveled (trucks),per square mile,3.442355,2005,,
406,Fresh Meadows,UHF42,2005-01-01,2005,Outdoor Air Toxics - Formaldehyde,Âµg/m3,2.3,2005,,
406,Fresh Meadows,UHF42,2005-01-01,2005,Annual vehicle miles traveled (cars),per square mile,58.093365,2005,,
307,Gramercy Park - Murray Hill,UHF42,2005-01-01,2005,Outdoor Air Toxics - Formaldehyde,Âµg/m3,5.3,2005,,
307,Gramercy Park - Murray Hill,UHF42,2005-01-01,2005,Outdoor Air Toxics - Benzene,Âµg/m3,5.3,2005,,
307,Gramercy Park - Murray Hill,UHF42,2005-01-01,2005,Annual vehicle miles traveled,per square mile,185.554478,2005,,
307,Gramercy Park - Murray Hill,UHF42,2005-01-01,2005,Annual vehicle miles traveled (trucks),per square mile,12.096487,2005,,
307,Gramercy Park - Murray Hill,UHF42,2005-01-01,2005,Annual vehicle miles traveled (cars),per square mile,169.481807,2005,,
201,Greenpoint,UHF42,2005-01-01,2005,Outdoor Air Toxics - Formaldehyde,Âµg/m3,3.5,2005,,
201,Greenpoint,UHF42,2005-01-01,2005,Outdoor Air Toxics - Benzene,Âµg/m3,3.7,2005,,
201,Greenpoint,UHF42,2005-01-01,2005,Annual vehicle miles traveled (cars),per square mile,58.919814,2005,,
201,Greenpoint,UHF42,2005-01-01,2005,Annual vehicle miles traveled (trucks),per square mile,4.07591,2005,,
201,Greenpoint,UHF42,2005-01-01,2005,Annual vehicle miles traveled,per square mile,63.172011,2005,,
301,Greenpoint and Williamsburg (CD1),CD,2005-01-01,2005,Annual vehicle miles traveled (cars),per square mile,54.700962,2005,,
301,Greenpoint and Williamsburg (CD1),CD,2005-01-01,2005,Annual vehicle miles traveled (trucks),per square mile,3.581769,2005,,
301,Greenpoint and Williamsburg (CD1),CD,2005-01-01,2005,Annual vehicle miles traveled,per square mile,58.486051,2005,,
308,Greenwich Village - SoHo,UHF42,2005-01-01,2005,Outdoor Air Toxics - Formaldehyde,Âµg/m3,4.0,2005,,
308,Greenwich Village - SoHo,UHF42,2005-01-01,2005,Outdoor Air Toxics - Benzene,Âµg/m3,4.7,2005,,
308,Greenwich Village - SoHo,UHF42,2005-01-01,2005,Annual vehicle miles traveled (trucks),per square mile,10.487914,2005,,
308,Greenwich Village - SoHo,UHF42,2005-01-01,2005,Annual vehicle miles traveled,per square mile,132.558864,2005,,
308,Greenwich Village - SoHo,UHF42,2005-01-01,2005,Annual vehicle miles traveled (cars),per square mile,121.313066,2005,,
102,Greenwich Village and Soho (CD2),CD,2005-01-01,2005,Annual vehicle miles traveled (trucks),per square mile,9.638328,2005,,
102,Greenwich Village and Soho (CD2),CD,2005-01-01,2005,Annual vehicle miles traveled (cars),per square mile,109.395468,2005,,
102,Greenwich Village and Soho (CD2),CD,2005-01-01,2005,Annual vehicle miles traveled,per square mile,119.90561,2005,,
106,High Bridge - Morrisania,UHF42,2005-01-01,2005,Outdoor Air Toxics - Formaldehyde,Âµg/m3,3.6,2005,,
106,High Bridge - Morrisania,UHF42,2005-01-01,2005,Annual vehicle miles traveled,per square mile,79.563134,2005,,
106,High Bridge - Morrisania,UHF42,2005-01-01,2005,Outdoor Air Toxics - Benzene,Âµg/m3,3.0,2005,,
106,High Bridge - Morrisania,UHF42,2005-01-01,2005,Annual vehicle miles traveled (cars),per square mile,73.386255,2005,,
